"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"Bryozor-T1-1"	360306	310654	309854	309916	307818	304596
"Bryozor-T1-2"	124413	108642	108269	108299	107935	107280
"Bryozor-T1-3"	475100	431137	430496	430557	428916	426111
"Bryozor-T1-4"	333185	301412	300766	300881	299239	297252
"Bryozor-T1-5"	151479	134084	133809	133783	132774	132351
"Bryozor-T1-6"	346139	311134	310006	310475	307993	304908
"Bryozor-T1-7"	470757	416681	416032	415927	412964	408683
"Bryozor-T1-8"	7	7	2	3	0	0
"Bryozor-T1-9"	594202	538928	538267	538096	535548	531083
"NegativeBioelement-1"	4220	4093	4039	4032	3978	3978
"NegativeBioelement-2"	4409	4212	4033	4073	3994	3994
"NegativeBioelement-3"	5597	5390	5332	5353	5315	5287
"NegativeBioelement-4"	36358	34991	34844	34812	34688	34511
"NegativeBioelement-5"	18322	16805	16695	16696	16469	16413
"NegativeBioelement-6"	17608	16864	16793	16801	16688	16654
"Seawater-0-1"	7	1	1	1	1	1
"Seawater-0-2"	1641	1420	1391	1395	1369	1369
"Seawater-0-3"	96	88	69	73	67	67
"Seawater-Negative-1"	686	661	619	619	602	602
"Seawater-Negative-2"	1592	1517	1446	1457	1421	1421
"Seawater-Negative-3"	10324	9892	9792	9841	9734	9734
"Seawater-T1-2"	9	8	2	4	2	2
"Seawater-T1-3"	18	15	9	9	9	9
"Seawater-T10-1"	706760	656611	653506	653945	647096	637834
"Seawater-T10-2"	967835	909102	906175	906233	896506	883640
"Seawater-T10-3"	560275	534166	532174	531969	526999	517220
"Seawater-T11-1"	296080	265417	262917	263384	256777	246449
"Seawater-T11-2"	229287	211234	208508	208909	203745	198830
"Seawater-T11-3"	485357	450735	448453	448554	441749	430240
"Seawater-T12-1"	296531	262340	259630	260197	254480	238718
"Seawater-T12-2"	248542	225649	222646	223271	217113	209301
"Seawater-T12-3"	716944	630936	626914	626920	613553	591369
"Seawater-T2-1"	5	4	1	1	0	0
"Seawater-T2-2"	17	16	3	5	0	0
"Seawater-T2-3"	14770	14216	13985	13993	13781	13781
"Seawater-T3-1"	1069179	997802	995037	995860	988095	974352
"Seawater-T3-2"	261228	246071	244879	245065	242809	240399
"Seawater-T3-3"	212910	204709	203885	203976	202914	200721
"Seawater-T4-1"	691010	623163	621311	621561	616342	609412
"Seawater-T4-2"	225363	207399	206521	206682	204548	202056
"Seawater-T4-3"	378999	364996	364040	364052	362308	359337
"Seawater-T5-1"	46017	42435	41923	42014	41125	40870
"Seawater-T5-2"	338026	325011	324110	324249	322276	319610
"Seawater-T5-3"	318311	306074	305114	305071	302954	299667
"Seawater-T6-1"	379264	346066	344165	344579	340660	335538
"Seawater-T6-2"	428129	400038	398013	398314	394227	387700
"Seawater-T6-3"	708800	674650	672845	672911	668670	658489
"Seawater-T7-1"	315106	289740	288355	288616	285617	282428
"Seawater-T7-2"	842125	798877	796530	796887	790628	778769
"Seawater-T7-3"	524741	498465	497686	497732	494145	490239
"Seawater-T8-1"	160894	142598	141042	141415	138353	136985
"Seawater-T8-2"	735180	700425	697833	698118	692224	684774
"Seawater-T8-3"	510831	483533	480807	480894	475619	469717
"Seawater-T9-1"	90361	81550	80697	80922	79110	78629
"Seawater-T9-2"	635646	606133	604207	604202	599993	593646
"Seawater-T9-3"	507803	489194	487727	487594	484404	479858
"Succession-T1-1"	130692	126181	125746	125734	123579	122905
"Succession-T1-2"	10	9	1	2	0	0
"Succession-T1-3"	11	11	6	6	6	6
"Succession-T1-4"	2	2	2	2	0	0
"Succession-T1-5"	50	48	36	36	36	36
"Succession-T1-6"	3	3	2	2	0	0
"Succession-T1-7"	4	4	1	1	0	0
"Succession-T1-8"	1479	1414	1316	1329	1281	1281
"Succession-T1-9"	23	22	19	19	19	19
"Succession-T10-1"	547922	520109	519290	519441	516920	515541
"Succession-T10-2"	331625	259322	257761	258250	253985	253013
"Succession-T10-3"	334680	317165	316616	316505	314781	313132
"Succession-T10-4"	132049	114407	113707	113870	112589	112083
"Succession-T10-5"	210882	197730	197325	197370	196353	195878
"Succession-T10-6"	150610	128760	128288	128325	127404	127043
"Succession-T10-7"	420155	399208	398488	398517	397103	395527
"Succession-T10-8"	1006709	841089	839378	839825	831375	822935
"Succession-T10-9"	683653	644195	643402	643325	641626	636086
"Succession-T11-1"	289876	257168	256021	256182	252868	251826
"Succession-T11-2"	276011	236907	235598	235683	231050	230376
"Succession-T11-3"	373508	326989	325353	325605	321127	320088
"Succession-T11-4"	191219	166152	165239	165262	163688	162768
"Succession-T11-5"	481864	441652	440359	440274	436795	433977
"Succession-T11-6"	450791	398842	397154	397343	392652	391752
"Succession-T11-7"	483780	445859	444630	444774	440951	438056
"Succession-T11-8"	710258	618608	616626	616588	610173	607170
"Succession-T11-9"	62210	59100	58640	58643	57923	57549
"Succession-T12-1"	382128	328112	326878	326934	323809	319253
"Succession-T12-2"	259801	221133	219520	219863	215701	215235
"Succession-T12-3"	241232	207943	206766	206850	203914	201342
"Succession-T12-4"	294558	263551	262084	262432	259416	258145
"Succession-T12-5"	439150	389211	387302	387420	380585	375424
"Succession-T12-6"	541363	479178	477229	477645	472190	468795
"Succession-T12-7"	395746	344689	343051	343170	339468	333876
"Succession-T12-8"	384059	332323	330442	330649	324571	323293
"Succession-T12-9"	413729	358241	355603	355888	348521	345074
"Succession-T2-1"	2655	2557	2433	2436	2340	2340
"Succession-T2-2"	1	1	1	1	1	1
"Succession-T2-3"	23	21	19	13	13	13
"Succession-T2-4"	10	10	2	1	0	0
"Succession-T2-5"	18	17	9	9	0	0
"Succession-T2-6"	4	4	2	2	2	2
"Succession-T2-7"	9565	9202	8983	9028	8781	8781
"Succession-T2-8"	7	7	6	6	6	6
"Succession-T2-9"	43	41	33	37	27	27
"Succession-T3-1"	151469	145342	144194	144337	141050	139400
"Succession-T3-2"	255160	239275	237835	238033	220931	218334
"Succession-T3-3"	189351	182201	181475	181189	178474	177391
"Succession-T3-4"	294469	277064	275811	275927	269799	265239
"Succession-T3-5"	326214	308016	306360	306519	301994	297987
"Succession-T3-6"	650531	615766	613539	613766	555309	546106
"Succession-T3-7"	298540	287625	286663	286645	280625	275265
"Succession-T3-8"	418788	401387	400131	400479	390569	388766
"Succession-T3-9"	481408	460690	459131	459092	451114	442872
"Succession-T4-1"	732394	688499	686448	686705	677629	673637
"Succession-T4-2"	189221	178718	177765	177752	175273	174830
"Succession-T4-3"	204597	192626	191612	191534	188514	187797
"Succession-T4-4"	345960	323812	322494	322586	316910	314415
"Succession-T4-5"	357111	337602	336242	336436	332931	331234
"Succession-T4-6"	459406	432820	431204	431245	425681	422758
"Succession-T4-7"	251777	238357	237287	237128	233859	232359
"Succession-T4-8"	487357	465763	464678	464795	459192	453879
"Succession-T4-9"	433942	411250	409642	409625	405070	400953
"Succession-T5-1"	312267	289385	287489	287669	282576	279460
"Succession-T5-2"	205603	190970	190046	190017	187978	187075
"Succession-T5-3"	112534	106481	105789	105721	104071	102607
"Succession-T5-4"	442961	415341	414181	414266	411063	408192
"Succession-T5-5"	482255	454859	452920	453029	448899	443902
"Succession-T5-6"	384612	360750	359474	359399	355609	352031
"Succession-T5-7"	388102	367547	365906	365937	360865	356889
"Succession-T5-8"	349309	330152	328898	329189	326145	323352
"Succession-T5-9"	393988	371586	369711	369945	365216	357486
"Succession-T6-1"	266852	250937	249743	250025	247755	246925
"Succession-T6-2"	383501	351537	349991	350123	346320	344931
"Succession-T6-3"	341225	317453	316309	316387	314103	312409
"Succession-T6-4"	196196	177625	176910	176810	175101	174134
"Succession-T6-5"	530460	503116	502215	501945	499596	494933
"Succession-T6-6"	309792	287662	286522	286531	284389	283358
"Succession-T6-7"	495020	468618	466710	466961	462388	458134
"Succession-T6-8"	559552	522026	520095	520259	514036	507221
"Succession-T6-9"	486103	444696	443785	443780	441535	437701
"Succession-T7-1"	290573	263514	262543	262565	259903	255942
"Succession-T7-2"	111589	101285	100694	100774	99602	99198
"Succession-T7-3"	138990	129562	129195	129204	128572	128051
"Succession-T7-4"	186547	167280	166568	166662	164846	163734
"Succession-T7-5"	490106	460837	459908	459791	457785	454917
"Succession-T7-6"	130438	118454	117962	117962	117336	117012
"Succession-T7-7"	453969	416860	416160	416240	413708	409677
"Succession-T7-8"	240672	223252	222669	222646	221200	219725
"Succession-T7-9"	597352	542550	541591	541461	538806	534936
"Succession-T8-1"	728794	682051	680322	680556	676207	674310
"Succession-T8-2"	193828	172205	171240	171271	168721	167883
"Succession-T8-3"	3789095	3505760	3499140	3500672	3474757	3423652
"Succession-T8-4"	86026	76917	76464	76552	75874	75626
"Succession-T8-5"	516257	479092	478030	478092	475388	468242
"Succession-T8-6"	326482	288627	287940	287981	286625	285264
"Succession-T8-7"	536558	504705	503278	503393	497400	492249
"Succession-T8-8"	664287	575307	573869	574050	567716	556401
"Succession-T8-9"	580263	530978	529880	529953	525477	513211
"Succession-T9-1"	357083	340119	338932	338915	336146	334563
"Succession-T9-2"	216085	192175	191156	191394	188665	187332
"Succession-T9-3"	443373	410906	409810	409895	405984	404711
"Succession-T9-4"	193992	175551	174656	174706	172897	171223
"Succession-T9-5"	180311	170643	169767	169793	168154	167470
"Succession-T9-6"	2635	2403	2253	2294	2134	2134
"Succession-T9-7"	40	37	20	18	18	18
"Succession-T9-8"	182114	163446	162572	162683	160992	160263
"Succession-T9-9"	529449	505809	504596	504787	500902	497449
