Timepoint,Date,Day,Chl a (ug),Experiment,,Temperature,Bryozoan appearence,,,,,,,,,
1,24.06.2021,3,1.689,Succession,,20.8,none,,,,,,,,,
1,24.06.2021,3,2.021,Succession,,20.8,none,,,,,,,,,
1,24.06.2021,3,1.54,Succession,,20.8,none,,,,,,,,,
1,24.06.2021,3,2.051,Succession,,20.8,none,,,,,,,,,
1,24.06.2021,3,1.363,Succession,,20.8,none,,,,,,,,,
1,24.06.2021,3,2.338,Succession,,20.8,none,,,,,,,,,
1,24.06.2021,3,1.991,Succession,,20.8,none,,,,,,,,,
1,24.06.2021,3,1.477,Succession,,20.8,none,,,,,,,,,
1,24.06.2021,3,1.694,Succession,,20.8,none,,,,,,,,,
2,28.06.2021,7,0.499,Succession,,21.1,none,,,,,,,,,
2,28.06.2022,7,0.542,Succession,,21.1,none,,,,,,,,,
2,28.06.2023,7,0.491,Succession,,21.1,none,,,,,,,,,
2,28.06.2024,7,0.953,Succession,,21.1,none,,,,,,,,,
2,28.06.2025,7,0.673,Succession,,21.1,none,,,,,,,,,
2,28.06.2026,7,0.693,Succession,,21.1,none,,,,,,,,,
2,28.06.2027,7,0.523,Succession,,21.1,none,,,,,,,,,
2,28.06.2028,7,0.56,Succession,,21.1,none,,,,,,,,,
2,28.06.2029,7,0.606,Succession,,21.1,none,,,,Date,Clock,Day,Timepoint (Succession),Timepoint (Assembly),
3,01.07.2021,10,0.234,Succession,,21.6,none,,,,21.06.2021,14.41,0,T0,T0,
3,01.07.2022,10,0.286,Succession,,21.6,none,,,,24.06.2021,12.08,3,T1,,
3,01.07.2023,10,0.332,Succession,,21.6,none,,,,28.06.2021,10.37,6,T2,,
3,01.07.2024,10,0.223,Succession,,21.6,none,,,,01.07.2021,10.51,9,T3,,
3,01.07.2025,10,0.349,Succession,,21.6,none,,,,06.07.2021,11,14,T4,T1,
3,01.07.2026,10,0.43,Succession,,21.6,none,,,,14.07.2021,14.53,22,T5,,
3,01.07.2027,10,0.313,Succession,,21.6,none,,,,20.07.2021,12.13,30,T6,T2,Bryozoa observed - one layer
3,01.07.2028,10,0.328,Succession,,21.6,none,,,,04.08.2021,12.06,45,T7,T3,Bryozoa observed - multilayer
3,01.07.2029,10,0.257,Succession,,21.6,none,,,,17.08.2021,11.09,58,T8,T4,"Bryozoa observed - multilayer + other growth on top, Phaeobacter Log 5.2 CFU/filter"
4,06.07.2021,15,0.583,Succession,,22.2,none,,,,31.08.2021,11.37,72,T9,T5,Bryozoa observed - multilayer + other growth on top - Log 2 CFU Phaeobacter w. bryo (might be uncertain due to contamination)
4,06.07.2022,15,0.501,Succession,,22.2,none,,,,14.09.2021,10.59,86,T10,T6,"Bryozoa observed - multilayer overgrwon with brown/green biofilm, bryozoa spreading on bioelements. Log 4.6 CFU/filter w. bryo +++, log 2.3 with bryo +"
4,06.07.2023,15,0.55,Succession,,22.2,none,,,,28.09.2021,10.41,100,T11,T7,"Bryozoan observed - monolayer overgrown with brown/green biofilm, 4.9 log CFU phaeobacter per bioelement med bryozoan +++"
4,06.07.2024,15,0.58,Succession,,22.2,none,,,,,,114,T12,T8,
4,06.07.2025,15,0.526,Succession,,22.2,none,,,,,,,,,
4,06.07.2026,15,0.505,Succession,,22.2,none,,,,,,,,,
4,06.07.2027,15,0.51,Succession,,22.2,none,,,,,,,,,
4,06.07.2028,15,0.558,Succession,,22.2,none,,,,,,,,,
4,06.07.2029,15,0.614,Succession,,22.2,none,,,,,,,,,
5,14.07.2021,23,1.032,Succession,,22.9,none,,,,,,,,,
5,14.07.2022,23,0.633,Succession,,22.9,none,,,,,,,,,
5,14.07.2023,23,0.433,Succession,,22.9,none,,,,,,,,,
5,14.07.2024,23,0.686,Succession,,22.9,none,,,,,,,,,
5,14.07.2025,23,0.52,Succession,,22.9,none,,,,,,,,,
5,14.07.2026,23,0.564,Succession,,22.9,none,,,,,,,,,
5,14.07.2027,23,0.776,Succession,,22.9,none,,,,,,,,,
5,14.07.2028,23,0.677,Succession,,22.9,none,,,,,,,,,
5,14.07.2029,23,0.451,Succession,,22.9,none,,,,,,,,,
6,20.07.2021,29,0.847,Succession,,22.4,Single layer,,,,,,,,,
6,20.07.2021,29,0.554,Succession,,22.4,Single layer,,,,,,,,,
6,20.07.2021,29,0.796,Succession,,22.4,Single layer,,,,,,,,,
6,20.07.2021,29,0.583,Succession,,22.4,Single layer,,,,,,,,,
6,20.07.2021,29,0.617,Succession,,22.4,Single layer,,,,,,,,,
6,20.07.2021,29,0.714,Succession,,22.4,Single layer,,,,,,,,,
6,20.07.2021,29,0.698,Succession,,22.4,Single layer,,,,,,,,,
6,20.07.2021,29,0.58,Succession,,22.4,Single layer,,,,,,,,,
6,20.07.2021,29,0.667,Succession,,22.4,Single layer,,,,,,,,,
7,04.08.2021,44,1.422,Succession,,18.7,Multi layer,,,,,,,,,
7,04.08.2022,44,1.529,Succession,,18.7,Multi layer,,,,,,,,,
7,04.08.2023,44,0.576,Succession,,18.7,Multi layer,,,,,,,,,
7,04.08.2024,44,0.526,Succession,,18.7,Multi layer,,,,,,,,,
7,04.08.2025,44,1.595,Succession,,18.7,Multi layer,,,,,,,,,
7,04.08.2026,44,0.288,Succession,,18.7,Multi layer,,,,,,,,,
7,04.08.2027,44,0.984,Succession,,18.7,Multi layer,,,,,,,,,
7,04.08.2028,44,0.468,Succession,,18.7,Multi layer,,,,,,,,,
7,04.08.2029,44,0.249,Succession,,18.7,Multi layer,,,,,,,,,
8,17.08.2021,57,0.613,Succession,,18.1,Multi layer + macro algae,,,,,,,,,
8,17.08.2021,57,0.288,Succession,,18.1,Multi layer + macro algae,,,,,,,,,
8,17.08.2021,57,0.368,Succession,,18.1,Multi layer + macro algae,,,,,,,,,
8,17.08.2021,57,0.636,Succession,,18.1,Multi layer + macro algae,,,,,,,,,
8,17.08.2021,57,0.928,Succession,,18.1,Multi layer + macro algae,,,,,,,,,
8,17.08.2021,57,1.34,Succession,,18.1,Multi layer + macro algae,,,,,,,,,
8,17.08.2021,57,1.966,Succession,,18.1,Multi layer + macro algae,,,,,,,,,
8,17.08.2021,57,0.715,Succession,,18.1,Multi layer + macro algae,,,,,,,,,
8,17.08.2021,57,0.27,Succession,,18.1,Multi layer + macro algae,,,,,,,,,
9,31.08.2021,71,2.288,Succession,,17.6,Multi layer + macro algae,,,,,,,,,
9,31.08.2022,71,1.693,Succession,,17.6,Multi layer + macro algae,,,,,,,,,
9,31.08.2023,71,1.26,Succession,,17.6,Multi layer + macro algae,,,,,,,,,
9,31.08.2024,71,2.167,Succession,,17.6,Multi layer + macro algae,,,,,,,,,
9,31.08.2025,71,1.929,Succession,,17.6,Multi layer + macro algae,,,,,,,,,
9,31.08.2026,71,1.082,Succession,,17.6,Multi layer + macro algae,,,,,,,,,
9,31.08.2027,71,1.113,Succession,,17.6,Multi layer + macro algae,,,,,,,,,
9,31.08.2028,71,0.484,Succession,,17.6,Multi layer + macro algae,,,,,,,,,
9,31.08.2029,71,0.464,Succession,,17.6,Multi layer + macro algae,,,,,,,,,
10,14.09.2021,85,0.648,Succession,,18.4,Multi layer + macro algae,,,,,,,,,
10,14.09.2021,85,0.656,Succession,,18.4,Multi layer + macro algae,,,,,,,,,
10,14.09.2021,85,1.626,Succession,,18.4,Multi layer + macro algae,,,,,,,,,
10,14.09.2021,85,0.63,Succession,,18.4,Multi layer + macro algae,,,,,,,,,
10,14.09.2021,85,1.004,Succession,,18.4,Multi layer + macro algae,,,,,,,,,
10,14.09.2021,85,1.993,Succession,,18.4,Multi layer + macro algae,,,,,,,,,
10,14.09.2021,85,0.971,Succession,,18.4,Multi layer + macro algae,,,,,,,,,
10,14.09.2021,85,0.902,Succession,,18.4,Multi layer + macro algae,,,,,,,,,
10,14.09.2021,85,0.244,Succession,,18.4,Multi layer + macro algae,,,,,,,,,
11,28.09.2021,99,0.652,Succession,,14.9,Multi layer + macro algae,,,,,,,,,
11,28.09.2021,99,1.139,Succession,,14.9,Multi layer + macro algae,,,,,,,,,
11,28.09.2021,99,1.061,Succession,,14.9,Multi layer + macro algae,,,,,,,,,
11,28.09.2021,99,0.495,Succession,,14.9,Multi layer + macro algae,,,,,,,,,
11,28.09.2021,99,0.478,Succession,,14.9,Multi layer + macro algae,,,,,,,,,
11,28.09.2021,99,0.294,Succession,,14.9,Multi layer + macro algae,,,,,,,,,
11,28.09.2021,99,1.264,Succession,,14.9,Multi layer + macro algae,,,,,,,,,
11,28.09.2021,99,0.588,Succession,,14.9,Multi layer + macro algae,,,,,,,,,
11,28.09.2021,99,0.319,Succession,,14.9,Multi layer + macro algae,,,,,,,,,
