row m/z;MBCe0130.mzML;MBCe0131.mzML;MBCe0132.mzML;MBCe0133.mzML;MBCe0135.mzML;MBCe0136.mzML;MBCe0137.mzML;MBCe0138.mzML;MBCe0139.mzML;MBCe0140.mzML;MBCe0141.mzML;MBCe0142.mzML;MBCe0143.mzML;MBCe0144.mzML;MBCe0145.mzML;MBCe0146.mzML;MBCe0147.mzML;MBCe0148.mzML;MBCe0149.mzML;MBCe0150.mzML;MBCe0151.mzML;MBCe0152.mzML;MBCe0154.mzML;MBCe0155.mzML;MBCe0156.mzML;MBCe0157.mzML;MBCe0158.mzML;MBCe0159.mzML;MBCe0162.mzML;MBCe0163.mzML;MBCe0164.mzML;MBCe0165.mzML;MBCe0166.mzML;MBCe0167.mzML;MBCe0168.mzML;MBCe0169.mzML;MBCe0171.mzML;MBCe0172.mzML;MBCe0173.mzML;MBCe0174.mzML;MBCe0175.mzML;MBCe0176.mzML;MBCe0177.mzML;MBCe0178.mzML;MBCe0180.mzML;MBCe0181.mzML;MBCe0182.mzML;MBCe0183.mzML;MBCe0184.mzML;MBCe0185.mzML;MBCe0186.mzML;MBCe0191.mzML;MBCe0192.mzML;MBCe0193.mzML;MBCe0194.mzML;MBCe0195.mzML;MBCe0196.mzML;MBCe0197.mzML;MBCe0198.mzML;MBCe0199.mzML;MBCe0200.mzML;MBCe0201.mzML;MBCe0202.mzML;MBCe0203.mzML;MBCe0204.mzML;MBCe0205.mzML;MBCe0206.mzML;MBCe0207.mzML;MBCe0208.mzML;MBCe0209.mzML;MBCe0210.mzML;MBCe0211.mzML;MBCe0212.mzML;MBCe0213.mzML;MBCe0214.mzML;MBCe0215.mzML;MBCe0216.mzML;MBCe0217.mzML;MBCe0218.mzML;MBCe0219.mzML;MBCe0220.mzML;MBCe0221.mzML;MBCe0222.mzML;MBCe0223.mzML;MBCe0224.mzML;MBCe0225.mzML;MBCe0226.mzML;MBCe0227.mzML;MBCe0228.mzML;MBCe0229.mzML;MBCe0230.mzML;MBCe0231.mzML;MBCe0232.mzML;MBCe0233.mzML;MBCe0234.mzML;MBCe0235.mzML;MBCe0236.mzML;MBCe0237.mzML
;Day3;Day3;Day3;Day3;Day3;Day3;Day3;Day3;Day7;Day7;Day7;Day7;Day7;Day7;Day7;Day7;Day7;Day10;Day10;Day10;Day10;Day10;Day10;Day10;Day10;Day15;Day15;Day15;Day15;Day15;Day15;Day15;Day15;Day23;Day23;Day23;Day23;Day23;Day23;Day23;Day29;Day29;Day29;Day29;Day29;Day29;Day29;Day29;Day44;Day44;Day44;Day44;Day44;Day57;Day57;Day57;Day57;Day57;Day57;Day57;Day57;Day57;Day71;Day71;Day71;Day71;Day71;Day71;Day71;Day71;Day71;Day85;Day85;Day85;Day85;Day85;Day85;Day85;Day85;Day85;Day99;Day99;Day99;Day99;Day99;Day99;Day99;Day99;Day99;Day113;Day113;Day113;Day113;Day113;Day113;Day113;Day113;Day113
100.0754708;0;0;0;0;0;0;0;0;0;1319.0542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1840.2705;0;0;0;0;0;0;1032.0691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1092.4447;0
104.107081;668.3169;0;0;1026.1038;1021.6391;0;0;0;2879.2405;4029.0337;3328.4773;2009.5653;1955.0569;3787.515;3476.5867;4253.946;1275.7479;4825.571;1818.6558;5255.48;1604.8944;0;0;1838.3116;0;0;0;0;0;0;0;0;3483.8013;4719.2173;0;3536.9634;2951.9949;569.524;2815.8318;0;2446.4075;0;793.2489;0;0;5065.559;5409.9688;4563.171;4450.9634;1993.1263;6298.7046;2092.236;0;0;1419.1199;0;0;0;1666.8506;0;3087.4822;1697.0947;2378.578;1862.3229;2534.6597;2892.0374;2626.413;0;2469.2134;2035.9684;0;0;0;1468.1259;2523.832;2307.65;1583.1581;2201.9507;1278.4276;747.84216;2626.1692;2799.1455;2521.563;0;2575.7263;1738.7222;0;1606.6953;2179.4456;2982.9602;3560.635;0;0;1260.8435;4383.686;0;1497.557;0
104.1070141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;803.1536;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104.107118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;836.13654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1261.6201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105.0697042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1384.1483;0;0;885.6334;0;0;0;0;0;0;0;0;0;0;1236.9622;678.91565;0;0;0;0;0;0;4501.045;5114.9854;5395.1133;6251.7734;0;1664.0989;2911.3123;0;0;2228.281;1885.3014;0;0;0;0;0;0;0;0;0;0;0;731.0289;0;0;0;0;0;0;1037.1984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109.1007924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1170.7094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110.0084589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456.4107;0;0;0;0;0;0;0;0;0;0;0
111.044042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291.6047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112.0065727;1230.2854;1320.9076;0;0;0;0;0;0;2144.6072;0;0;0;0;2057.7607;0;2295.31;1931.4802;0;1519.0182;1677.834;0;0;1930.4196;0;0;2553.5393;2771.6047;0;0;2575.663;0;2490.4624;0;0;2580.7312;0;0;0;0;0;0;2340.9995;0;1865.4722;1782.24;0;2031.9398;0;2271.5007;0;0;2343.373;2823.6409;2864.3474;2925.7312;0;2136.935;2251.4697;0;0;2081.7288;0;0;0;0;0;0;2501.436;2261.7297;2221.5264;3145.243;0;0;2553.874;2308.3062;0;1920.7896;2285.8938;2392.3936;0;2379.0925;2264.6328;0;2635.6423;2579.009;2151.3066;2008.7472;0;0;2032.5189;0;0;2447.515;0;2332.255;0;2344.4624;2258.1038
