row ID;row m/z;row retention time;NPC#pathway;NPC#pathway Probability;NPC#superclass;NPC#superclass Probability;NPC#class;NPC#class Probability;ClassyFire#most specific class;ClassyFire#most specific class Probability;ClassyFire#level 5;ClassyFire#level 5 Probability;ClassyFire#subclass;ClassyFire#subclass Probability;ClassyFire#class;ClassyFire#class Probability;ClassyFire#superclass;ClassyFire#superclass probability;b4.mzML Peak area;b2.mzML Peak area;b3.mzML Peak area;MBCe0149.mzML Peak area;b1.mzML Peak area;MBCe0151.mzML Peak area;MBCe0150.mzML Peak area;MBCe0148.mzML Peak area;MBCe0152.mzML Peak area;MBCe0157.mzML Peak area;MBCe0156.mzML Peak area;MBCe0155.mzML Peak area;MBCe0158.mzML Peak area;MBCe0175.mzML Peak area;MBCe0154.mzML Peak area;MBCe0166.mzML Peak area;MBCe0174.mzML Peak area;MBCe0171.mzML Peak area;MBCe0169.mzML Peak area;MBCe0164.mzML Peak area;MBCe0159.mzML Peak area;MBCe0162.mzML Peak area;MBCe0167.mzML Peak area;MBCe0168.mzML Peak area;MBCe0165.mzML Peak area;MBCe0176.mzML Peak area;MBCe0182.mzML Peak area;MBCe0177.mzML Peak area;MBCe0180.mzML Peak area;MBCe0163.mzML Peak area;MBCe0181.mzML Peak area;MBCe0173.mzML Peak area;MBCe0185.mzML Peak area;MBCe0172.mzML Peak area;MBCe0184.mzML Peak area;MBCe0194.mzML Peak area;MBCe0178.mzML Peak area;MBCe0192.mzML Peak area;MBCe0183.mzML Peak area;MBCe0195.mzML Peak area;MBCe0211.mzML Peak area;MBCe0202.mzML Peak area;MBCe0197.mzML Peak area;MBCe0186.mzML Peak area;MBCe0193.mzML Peak area;MBCe0198.mzML Peak area;MBCe0200.mzML Peak area;MBCe0191.mzML Peak area;MBCe0212.mzML Peak area;MBCe0208.mzML Peak area;MBCe0204.mzML Peak area;MBCe0201.mzML Peak area;MBCe0196.mzML Peak area;MBCe0207.mzML Peak area;MBCe0203.mzML Peak area;MBCe0199.mzML Peak area;MBCe0216.mzML Peak area;MBCe0214.mzML Peak area;MBCe0217.mzML Peak area;MBCe0222.mzML Peak area;MBCe0205.mzML Peak area;MBCe0206.mzML Peak area;MBCe0209.mzML Peak area;MBCe0215.mzML Peak area;MBCe0227.mzML Peak area;MBCe0230.mzML Peak area;MBCe0221.mzML Peak area;MBCe0218.mzML Peak area;MBCe0219.mzML Peak area;MBCe0220.mzML Peak area;MBCe0225.mzML Peak area;MBCe0213.mzML Peak area;preblank.mzML Peak area;MBCe0235.mzML Peak area;MBCe0233.mzML Peak area;MBCe0228.mzML Peak area;MBCe0223.mzML Peak area;MBCe0226.mzML Peak area;MBCe0224.mzML Peak area;MBCe0232.mzML Peak area;MBCe0229.mzML Peak area;MBCe0236.mzML Peak area;MBCe0234.mzML Peak area;MBCe0237.mzML Peak area;MBCe0231.mzML Peak area;MBCe0210.mzML Peak area
6;141.9585516;0.24941646;Fatty acids;0.740809679;Fatty acyls;0.768423378;Pyridine alkaloids;0.030565282;Nitriles;0.95152843;Nitriles;0.95152843;Organic cyanides;0.994826376;Organonitrogen compounds;0.99820745;Organic nitrogen compounds;0.999995351;136.63107;383.57642;207.41443;294.54486;185.70413;0;364.76227;0;0;219.27115;392.8178;182.27267;321.95868;291.96106;0;199.47153;212.22244;182.66345;341.04163;581.84485;142.62886;234.8444;0;230.38232;214.33044;150.32536;0;146.05447;129.29575;412.1575;236.82985;0;220.08035;261.81143;283.30377;190.34694;136.26059;304.6896;163.46965;0;280.37677;142.56662;0;215.89658;287.79062;515.9084;452.3358;362.25974;176.10089;458.65378;524.22906;355.6146;223.73436;273.7009;241.81206;287.4389;189.6456;242.87614;608.71344;191.39534;583.0167;169.77592;263.3336;208.62895;540.6695;0;317.05573;396.4892;522.81903;126.76592;168.37651;284.9117;3694.4697;262.7971;196.75111;371.78476;271.7347;185.37454;248.24455;115.65806;260.47995;145.92982;330.70197;0;0;392.4589
7;122.9635118;0.1883;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;312.27612;0;0;0;0;0;0;0;0;0;0;0;0;0
10;182.9849681;0.20746666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;696.31824;0;0;0;0;0;0;0;0;0;0;0;0;0
11;172.977251;0.37525126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;438.349;0;315.10892;463.40546;1104.6769;419.1365;748.72314;621.59973;0;702.31573;190.44551;1103.0763;2565.4055;406.63477;0;0;386.17093;1135.0435;782.9024;1531.9331;518.29736;689.6694;0;0;368.39365;0;982.2624;1082.3506;0;0;0;0;0;678.75287;0;950.123;0;277.50256;0;443.93207;0;511.04102;619.6099;379.1692;0;1178.9044;0;545.5084;0;315.13004;0;443.711;1567.2687;984.9239;0;0;541.323;0;280.85608;485.09866;505.52643;1045.5447;0;0;311.96164;443.05777;500.5;389.8984;840.9055;451.78418;469.25174;3139.6577;0;274.65347;0;374.46265;750.24677;235.71973;333.98248;285.85626;372.8704;1199.309;570.4396;317.35425;0
12;132.0036474;0.3281673;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;221.47421;341.15186;959.1317;306.0288;735.5218;321.8445;303.3554;407.63895;237.95732;525.42145;303.0565;447.697;466.03992;887.94476;798.8002;0;172.79245;623.9208;1371.7664;466.35056;553.3285;663.40533;783.76776;310.23944;538.51776;644.03687;698.65247;0;235.25009;541.5304;956.8503;1048.6476;219.91205;204.28731;522.704;395.8114;319.9481;209.25784;345.62216;603.6035;806.0718;570.95795;770.9755;255.09384;542.4563;502.10464;491.93152;265.327;573.24756;314.4345;315.31567;225.73177;255.83623;670.2491;527.3385;580.7208;198.99063;701.3241;763.8425;0;673.1167;609.0004;224.45688;423.84274;288.32434;312.04208;524.54407;0;788.61945;216.81534;364.02124;574.23975;2530.7302;400.9747;308.48587;709.42065;508.81522;511.06772;334.26526;434.46106;243.11649;357.11688;436.65854;0;607.3452;433.5409
20;110.0084465;0.24671496;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;515.53687;623.6506;468.3859;188.14603;391.62424;264.70377;188.24625;560.0396;464.37308;508.46408;0;239.50223;353.42792;559.16583;171.77153;300.27332;208.7607;0;0;0;280.91354;0;597.52606;452.45422;239.44727;735.94653;433.4998;449.88364;425.63922;162.994;317.09552;406.6547;464.38632;544.54425;164.63655;373.29196;1002.79974;254.28812;488.09827;533.61053;738.04315;200.03053;0;0;0;313.3396;227.06499;304.53217;0;1216.1895;361.90558;434.0446;0;289.73575;376.73303;516.4508;328.66068;385.49274;193.84824;0;0;0;480.7617;393.1652;810.9836;355.13336;585.64246;261.903;442.5354;248.35333;592.06036;0;1197.5383;0;165.57556;264.0144;320.7232;364.96503;0;437.3552;406.33362;208.70801;0;438.8909;319.116;247.37483
45;110.0084459;0.4957545;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;742.50354;291.781;476.99225;468.39758;220.10129;0;408.2051;0;826.04614;268.235;226.0743;298.58847;598.269;553.60614;280.55768;515.3438;276.13898;365.6331;0;0;279.06204;0;296.56665;682.13385;237.73297;364.9824;447.91708;386.88312;421.74396;409.00693;528.99316;273.68442;342.98557;433.18292;537.0465;406.48303;230.1915;305.98325;180.75563;0;385.52127;264.4804;384.31284;0;250.21928;293.154;242.5843;733.32166;0;0;433.92905;595.76996;536.3693;393.47458;174.16357;351.91794;277.4789;281.10135;338.11102;0;213.806;179.67383;253.29156;369.11908;303.07156;271.40643;214.9549;387.8838;430.18088;382.82678;234.36723;0;311.92712;40.372612;280.8667;430.76288;219.07498;268.54208;0;350.94235;264.76077;697.6229;0;466.6051;278.32233;0
48;151.0351334;0.6556;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.80886;0;0;0;0;0;0;26.364433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;126.9711883;0.6796859;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;41.61481;19.547787;0;0;0;0;0;0;0;0;0;0;381.8263;0;0;59.383064;0;0;0;0;0;0;0;0;113.1511;0;0;0;0;0;0;0;103.642876;0;0;0;0;0;0;0;40.304535;0;0;0;0;53.88804;91.6179;29.74123;0;0;0;0;0;0;29.075373;71.82272;0;0;0;0;0;0;0;77.55621;0;0;0;0;970.707;9.47951;51.045055;0;68.88427;26.322283;0;0;0;0;0;0;37.378983;34.2062
62;132.0036461;0.7066735;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;439.48135;271.75452;186.6665;194.15096;172.68735;387.0125;309.73618;244.64366;309.04004;499.2718;553.01044;276.85184;166.90784;249.27734;179.53119;0;344.21606;217.68097;953.21234;379.23474;296.91214;264.39825;235.90102;1073.0271;634.61865;260.19208;563.423;446.82996;653.2636;294.25653;495.64563;533.46173;325.2575;507.6517;407.48615;460.4149;492.1813;661.3648;499.6807;334.06665;1180.6138;491.81747;466.89212;447.57977;738.3419;261.00156;221.10672;196.03291;352.43396;421.54514;860.2795;292.2756;225.98808;843.2823;538.79126;574.7178;266.59818;0;163.9939;216.78647;416.76627;414.176;672.266;348.09903;450.4206;305.82135;173.95547;201.01595;479.40915;344.73853;585.029;378.4543;1427.2809;400.91782;603.53876;162.33286;707.3471;263.72205;206.09491;133.10947;171.56741;258.24365;533.45544;0;580.54016;435.157
