row ID,row m/z,row retention time,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,MBCe0148.mzML.Peak.area,MBCe0149.mzML.Peak.area,MBCe0150.mzML.Peak.area,MBCe0151.mzML.Peak.area,MBCe0152.mzML.Peak.area,MBCe0154.mzML.Peak.area,MBCe0155.mzML.Peak.area,MBCe0156.mzML.Peak.area,MBCe0157.mzML.Peak.area,MBCe0158.mzML.Peak.area,MBCe0159.mzML.Peak.area,MBCe0162.mzML.Peak.area,MBCe0163.mzML.Peak.area,MBCe0164.mzML.Peak.area,MBCe0165.mzML.Peak.area,MBCe0166.mzML.Peak.area,MBCe0167.mzML.Peak.area,MBCe0168.mzML.Peak.area,MBCe0169.mzML.Peak.area,MBCe0171.mzML.Peak.area,MBCe0172.mzML.Peak.area,MBCe0173.mzML.Peak.area,MBCe0174.mzML.Peak.area,MBCe0175.mzML.Peak.area,MBCe0176.mzML.Peak.area,MBCe0177.mzML.Peak.area,MBCe0178.mzML.Peak.area,MBCe0180.mzML.Peak.area,MBCe0181.mzML.Peak.area,MBCe0182.mzML.Peak.area,MBCe0183.mzML.Peak.area,MBCe0184.mzML.Peak.area,MBCe0185.mzML.Peak.area,MBCe0186.mzML.Peak.area,MBCe0191.mzML.Peak.area,MBCe0192.mzML.Peak.area,MBCe0193.mzML.Peak.area,MBCe0194.mzML.Peak.area,MBCe0195.mzML.Peak.area,MBCe0196.mzML.Peak.area,MBCe0197.mzML.Peak.area,MBCe0198.mzML.Peak.area,MBCe0199.mzML.Peak.area,MBCe0200.mzML.Peak.area,MBCe0201.mzML.Peak.area,MBCe0202.mzML.Peak.area,MBCe0203.mzML.Peak.area,MBCe0204.mzML.Peak.area,MBCe0205.mzML.Peak.area,MBCe0206.mzML.Peak.area,MBCe0207.mzML.Peak.area,MBCe0208.mzML.Peak.area,MBCe0209.mzML.Peak.area,MBCe0210.mzML.Peak.area,MBCe0211.mzML.Peak.area,MBCe0212.mzML.Peak.area,MBCe0213.mzML.Peak.area,MBCe0214.mzML.Peak.area,MBCe0215.mzML.Peak.area,MBCe0216.mzML.Peak.area,MBCe0217.mzML.Peak.area,MBCe0218.mzML.Peak.area,MBCe0219.mzML.Peak.area,MBCe0220.mzML.Peak.area,MBCe0221.mzML.Peak.area,MBCe0222.mzML.Peak.area,MBCe0223.mzML.Peak.area,MBCe0224.mzML.Peak.area,MBCe0225.mzML.Peak.area,MBCe0226.mzML.Peak.area,MBCe0227.mzML.Peak.area,MBCe0228.mzML.Peak.area,MBCe0229.mzML.Peak.area,MBCe0230.mzML.Peak.area,MBCe0231.mzML.Peak.area,MBCe0232.mzML.Peak.area,MBCe0233.mzML.Peak.area,MBCe0234.mzML.Peak.area,MBCe0235.mzML.Peak.area,MBCe0236.mzML.Peak.area,MBCe0237.mzML.Peak.area
48,151.0351334,0.6556,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.80886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.364433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,423.9554465,0.9463867,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.14241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.091,0,0,154.25447,131.9697,0,0,114.401886,0,0
83,198.9398121,0.9487353,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,893.46265,428.17972,756.6634,728.5,641.7853,0,0,847.08093,0,0,189.26671,0,825.4082,336.83786,0,910.60876,959.4093,848.92633,695.6685,0,511.81796,886.58563,0,471.34955,0,737.5217,657.6893,0,1149.2563,1040.6274,1178.8455,709.58887,582.86786,0,538.34454,453.55066,278.27338,0,450.99246,381.08774,561.1285,708.8004,343.944,1110.7161,0,221.74721,0,0,0,594.6872,478.81183,409.59302,0,0,0,0,145.32887,0,0,0,0,0,0,262.85873,307.0394,0,0,0,0,334.85828,613.15985,0,238.42471,0,0,0,0,488.1618,0,474.43723,0
87,239.9664985,0.9501231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1873.1978,932.7654,1611.7775,1537.89,1200.5981,820.1429,1552.512,1728.247,0,181.98705,436.0195,0,1976.4504,704.7824,211.24583,1918.948,2154.9324,1913.8761,1660.7666,1497.2045,1444.5614,1954.9594,183.4595,1052.8225,0,1619.804,1718.2588,0,2656.7563,2422.1487,2787.049,1534.0656,1275.6138,1436.822,1221.3816,988.94946,734.12683,0,1091.2319,798.3395,1317.4677,1495.3364,838.4762,2305.385,1490.6505,550.26575,0,0,496.41312,1259.956,960.85645,991.1615,1458.9775,0,0,0,270.73337,0,0,0,0,0,426.4766,468.69373,0,0,406.39337,581.88135,0,541.679,1058.2787,0,556.17566,0,0,0,548.1537,920.0299,0,843.9657,838.36194
88,265.0156008,0.9503212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,581.9706,575.5318,379.73642,868.36914,0,297.39868,1403.2396,1566.1378,1487.7101,1972.8347,1398.8628,1675.4124,1132.2112,1847.2295,1407.2852,1196.8842,1459.776,1213.5568,453.8397,1391.7281,0,632.28784,0,596.16,757.8146,781.3717,1093.6681,935.9389,1073.7529,1111.9556,1607.9952,0,1247.4497,1547.6234,1876.3057,1891.3073,1215.4847,1197.2716,1205.9127,862.01184,481.901,1056.7188,1251.3105,1528.6649,1684.5085,1644.3264,1486.9336,1255.4625,1371.1875,1111.4819,1253.5769,2069.0942,0,1899.8994,1529.7874,1297.5728,1325.9027,841.71954,1042.2866,1190.9426,1456.3811,1283.56,1112.4441,1234.873,1498.3936,1355.179,881.86176,834.1029,1216.8577,958.77576,975.0595,0,1449.7169,1421.793,1045.2151,1174.1958,0,1175.8011,1171.6011
91,223.9893154,0.9510784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1754.9192,1358.8518,2106.0413,2023.4269,1440.1777,2881.116,2085.317,1077.1592,5182.83,5810.1245,5842.862,8069.9526,5302.3564,5913.22,4480.777,6641.429,5045.7974,4690.741,5574.7207,4459.4785,1739.5945,5074.256,0,2134.999,4312.562,2206.4175,3043.1675,2675.1987,4025.162,3392.042,3847.209,4450.9067,5707.406,4256.4453,4811.637,5934.5474,7005.526,7321.5073,4967.9224,4002.7454,4584.4844,2865.8442,2148.1116,3808.8108,4891.0054,5714.132,6297.286,6011.055,6180.016,4566.0664,5505.9004,4288.3,4684.363,7703.83,0,7547.886,6222.0933,4996.9253,5449.201,3338.3376,4303.7163,5283.6284,6286.638,5136.836,5040.3755,5489.0635,6226.585,5554.5093,4502.405,3452.7246,5087.7334,4101.7334,4093.531,4353.8623,5871.4536,6130.0776,4458.238,5290.41,4910.3813,5089.1807,4570.789
92,182.9625596,0.9512251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,218.43315,0,0,269.66913,0,0,362.37143,505.56372,447.5379,591.56696,403.6867,0,290.5772,0,0,372.79062,389.52054,0,0,0,0,0,0,0,0,176.05656,329.9318,267.80518,0,0,0,0,0,453.65854,456.7927,556.88965,0,293.05283,0,0,0,0,0,459.75653,497.569,0,422.16577,0,394.72446,0,0,613.5464,0,0,486.92804,0,458.43884,291.35388,391.83072,0,511.50394,417.1407,384.8078,437.14917,490.86572,506.82718,0,0,0,378.89203,0,382.39615,0,0,0,502.75195,0,443.4321,447.59454
95,266.0170876,0.951725,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.0136,0
99,214.9171031,0.9529595,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,508.80554,0,0,0,349.49936,0,0,0,0,0,0,0,211.14285,0,0,0,0,326.2891,180.36087,0,454.4149,0,0,203.39955,0,529.2321,365.57205,0,0,487.3747,566.5482,0,0,0,137.46716,0,0,0,0,0,0,0,0,494.26978,0,0,0,0,0,0,0,76.451675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,270.9200915,0.953387,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750.03204,1043.656,790.7963,0,1201.2877,191.50063,871.0209,1078.426,0,0,0,0,0,0,0,0,0,427.99792,0,0,254.85097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
