row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,b4.mzML Peak area,b2.mzML Peak area,b3.mzML Peak area,MBCe0151.mzML Peak area,MBCe0152.mzML Peak area,b1.mzML Peak area,MBCe0148.mzML Peak area,MBCe0149.mzML Peak area,MBCe0175.mzML Peak area,MBCe0155.mzML Peak area,MBCe0166.mzML Peak area,MBCe0156.mzML Peak area,MBCe0150.mzML Peak area,MBCe0157.mzML Peak area,MBCe0154.mzML Peak area,MBCe0164.mzML Peak area,MBCe0174.mzML Peak area,MBCe0171.mzML Peak area,MBCe0168.mzML Peak area,MBCe0173.mzML Peak area,MBCe0167.mzML Peak area,MBCe0169.mzML Peak area,MBCe0159.mzML Peak area,MBCe0158.mzML Peak area,MBCe0181.mzML Peak area,MBCe0172.mzML Peak area,MBCe0178.mzML Peak area,MBCe0197.mzML Peak area,MBCe0162.mzML Peak area,MBCe0163.mzML Peak area,MBCe0165.mzML Peak area,MBCe0177.mzML Peak area,MBCe0198.mzML Peak area,MBCe0183.mzML Peak area,MBCe0185.mzML Peak area,MBCe0182.mzML Peak area,MBCe0184.mzML Peak area,MBCe0186.mzML Peak area,MBCe0195.mzML Peak area,MBCe0176.mzML Peak area,MBCe0208.mzML Peak area,MBCe0194.mzML Peak area,MBCe0202.mzML Peak area,MBCe0193.mzML Peak area,MBCe0211.mzML Peak area,MBCe0205.mzML Peak area,MBCe0180.mzML Peak area,MBCe0192.mzML Peak area,MBCe0216.mzML Peak area,MBCe0212.mzML Peak area,MBCe0207.mzML Peak area,MBCe0191.mzML Peak area,MBCe0206.mzML Peak area,MBCe0204.mzML Peak area,MBCe0196.mzML Peak area,MBCe0199.mzML Peak area,MBCe0221.mzML Peak area,MBCe0218.mzML Peak area,MBCe0215.mzML Peak area,MBCe0203.mzML Peak area,MBCe0209.mzML Peak area,MBCe0217.mzML Peak area,MBCe0200.mzML Peak area,MBCe0220.mzML Peak area,MBCe0230.mzML Peak area,preblank.mzML Peak area,MBCe0227.mzML Peak area,MBCe0224.mzML Peak area,MBCe0222.mzML Peak area,MBCe0223.mzML Peak area,MBCe0214.mzML Peak area,MBCe0213.mzML Peak area,MBCe0229.mzML Peak area,MBCe0232.mzML Peak area,MBCe0225.mzML Peak area,MBCe0228.mzML Peak area,MBCe0226.mzML Peak area,MBCe0219.mzML Peak area,MBCe0201.mzML Peak area,MBCe0210.mzML Peak area,MBCe0233.mzML Peak area,MBCe0235.mzML Peak area,MBCe0237.mzML Peak area,MBCe0236.mzML Peak area,MBCe0231.mzML Peak area,MBCe0234.mzML Peak area,
536,100.07549692047874,1.5974083,,,,59,4,[M+H]+,,2,538;536,99.0682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.6874,0,0,0,0,0,0,0,0,0,0,0,1874.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125.4364,0,1595.6711,
3017,104.10703433524932,7.0553274,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1283.9468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364.8551,0,3037.624,0,0,0,0,0,0,1015.20337,0,1659.9011,1883.4698,0,1150.9993,0,1742.914,0,0,2056.2583,0,0,0,0,1024.4248,1591.0459,3396.4033,0,2682.5154,1511.9348,0,0,1166.8105,0,0,2091.7769,2374.287,1107.2661,0,1683.5114,1044.74,3520.3425,0,
2188,104.10699914511939,6.603558,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.5856,0,0,0,0,0,1242.9961,0,0,1161.8099,0,0,0,0,2073.4277,0,0,1535.335,0,0,0,0,0,0,1626.19,0,0,0,0,0,1080.342,0,0,1128.5486,0,0,0,1011.3716,1199.5016,1473.2245,0,
3630,104.1070156514316,7.770183,,,,39,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034.6747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,104.10707363542116,1.0443298,,,,,,,,,,,0,0,0,1531.1973,1442.6732,0,4644.6846,1700.0012,2352.1538,1849.8533,0,1837.0197,5180.211,0,4832.5767,0,0,2879.7405,3787.1843,2721.4958,4602.679,3423.862,0,0,5009.9224,2124.587,4326.0435,3054.564,0,0,0,4486.0786,1704.2742,4517.2666,2139.7444,5482.47,4227.6494,0,1391.2258,5908.7773,2470.6394,1335.2993,2564.2524,0,0,3200.7007,8620.985,2165.1152,1543.318,1695.226,2327.5115,2080.5767,3096.5488,2518.183,0,1283.4536,2683.4841,1275.2678,2256.7493,2089.622,0,2341.4658,0,2511.1777,3299.5254,0,1959.2913,2490.4558,2507.1218,2522.3674,2616.809,1503.9691,2940.7903,2368.24,0,2106.244,1226.4978,0,1260.2856,2009.9468,1304.9646,0,1684.0613,1881.7096,1057.8431,4685.1416,
659,105.06969611189173,1.9762424,,,,81,5,[M+H]+,,2,659;695,104.0625,0,0,0,0,0,0,0,0,0,0,0,0,1466.7512,0,0,0,0,0,0,0,1359.584,0,0,0,0,0,6012.1284,0,0,0,0,5555.406,0,3387.1653,0,1762.2714,0,2485.9602,0,5233.239,0,0,0,0,0,0,6981.788,0,0,0,0,3667.3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.96063,0,0,0,0,0,0,
986,109.10080891549502,3.0058167,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169.9331,0,0,0,0,0,0,
368,110.00846427969083,1.222047,,,,,,,,,,,0,0,0,0,1184.6345,0,0,0,0,0,0,0,0,2936.7874,0,2937.4412,0,1393.3318,0,0,0,0,2394.6362,2789.6357,0,0,0,0,2706.55,2390.3445,2397.0974,0,0,0,1629.3202,0,0,0,2333.3884,0,0,1668.1804,0,2081.2366,0,0,0,2516.3403,0,2134.7507,0,1182.6447,0,0,0,0,0,0,0,0,0,0,0,0,1340.0529,0,0,0,0,0,0,0,0,0,0,0,3195.394,0,0,1370.6617,0,0,1188.721,1403.7792,0,1583.1776,
799,111.11690465753922,2.3954337,,,,47,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627.4635,0,0,0,0,0,0,
108,116.07071525995661,1.0834389,,,,76,,,,,,,0,0,0,0,0,0,1079.3578,0,0,0,1068.3467,0,1445.3369,0,1273.48,0,0,0,1143.5676,0,1711.2799,1949.9751,1316.0782,0,2099.1973,0,0,1129.9434,0,4094.0217,0,1526.763,0,2598.4697,1202.3933,1744.0968,0,1232.9227,0,1977.0852,0,0,0,0,0,0,2876.0488,0,0,0,2382.593,1830.0969,3433.5142,0,1578.2935,0,0,1227.072,1961.0424,1175.4567,4959.6924,1491.857,1940.8625,0,0,0,0,0,0,0,0,0,1599.5916,0,1813.0552,0,0,0,3227.2678,0,0,0,1095.0862,0,0,1988.6987,
