parent mass;ATTRIBUTE_Day_cat;ATTRIBUTE_Day_num;ATTRIBUTE_Phases;ATTRIBUTE_replicate;ATTRIBUTE_SampleType;ATTRIBUTE_Shift_Major;cluster index;Compound_Name;GNPSGROUP:1;GNPSGROUP:10;GNPSGROUP:113;GNPSGROUP:15;GNPSGROUP:2;GNPSGROUP:23;GNPSGROUP:29;GNPSGROUP:3;GNPSGROUP:4;GNPSGROUP:44;GNPSGROUP:5;GNPSGROUP:57;GNPSGROUP:6;GNPSGROUP:7;GNPSGROUP:71;GNPSGROUP:8;GNPSGROUP:85;GNPSGROUP:9;GNPSGROUP:99;GNPSGROUP:B;GNPSGROUP:Blanck;GNPSGROUP:Early;GNPSGROUP:Late;GNPSGROUP:MeOH;GNPSGROUP:PB;GNPSGROUP:Peak;GNPSGROUP:Succession;GNPSGROUP:T1;GNPSGROUP:T10;GNPSGROUP:T11;GNPSGROUP:T12;GNPSGROUP:T2;GNPSGROUP:T3;GNPSGROUP:T4;GNPSGROUP:T5;GNPSGROUP:T6;GNPSGROUP:T7;GNPSGROUP:T8;GNPSGROUP:T9;molecularFormula;ClassyFire#class;ClassyFire#level 5;ClassyFire#most specific class;ClassyFire#subclass;ClassyFire#superclass;NPC#class;NPC#pathway;NPC#superclass;precursor mass;RTConsensus;RTMean;Smiles;SpectrumID
784.5263;T8;57;Late;4;Succession;Late;8582;;0;0;0;0;0;0;0;0;882.9176537;0;0;882.9176537;0;0;0;0;0;0;0;-1;-1;0;1765.835307;-1;0;0;882.9176537;0;0;0;0;0;0;0;0;0;0;882.9176537;0;;;;;;;;;;784.5263;10.507;10.507;;
493.3026;T9;71;Late;6;Succession;Late;1010;;0;0;0;0;0;0;0;0;0;0;0;0;4235.024221;0;4235.024221;0;0;0;0;-1;-1;0;8470.048442;-1;0;0;4235.024221;0;0;0;0;0;0;0;0;0;0;0;4235.024221;C25H40N4O6;Carboxylic acids and derivatives;Peptides;Oligopeptides;Amino acids, peptides, and analogues;Organic acids and derivatives;Tripeptides;Amino acids and Peptides;Small peptides;493.3026;3.0916;3.0916;;
206.1388;T6;3,29;Early,Peak;3,6;Succession;Early;91;;0;0;0;0;0;0;6693.046804;3823.626351;0;0;0;0;2869.420453;0;0;0;0;0;0;-1;-1;6693.046804;0;-1;0;6693.046804;6693.046804;0;0;0;0;0;0;0;0;6693.046804;0;0;0;C9H19NO4;Hydroxy acids and derivatives;;Beta hydroxy acids and derivatives;Beta hydroxy acids and derivatives;Organic acids and derivatives;Fatty acyl carnitines;Fatty acids;Fatty esters;206.1388;1.0821;1.0821;;
138.0548;T10,T7,T9,T8,T6,T12,T11;71,3,29,44,99,85,57,7,113;Late,Early,Peak;5,2,9,1,4,3,8,6,7;Succession;Early,Late;398;;58397.32987;0;97305.42915;0;60624.92165;0;2543.83609;54452.35091;90009.87602;35890.66282;37574.32386;91227.81162;39030.51149;29958.11425;84719.67667;45343.36625;55647.55647;30058.22193;78114.04341;-1;-1;2543.83609;885810.3603;-1;0;2543.83609;445449.0162;0;55647.55647;78114.04341;97305.42915;0;0;0;0;2543.83609;35890.66282;91227.81162;84719.67667;C7H7NO2;Pyridines and derivatives;Pyridinecarboxylic acids;Pyridinecarboxylic acids;Pyridinecarboxylic acids and derivatives;Organoheterocyclic compounds;Pyridine alkaloids;Alkaloids;Nicotinic acid alkaloids;138.0548;1.0941;1.0941;;
241.1549;T10,T7,T9,T8,T6,T12,T11;71,3,29,44,99,85,57,7,113;Late,Early,Peak;5,2,9,1,4,3,8,6,7;Succession;Early,Late;279;N,N-dimethyl-proline-proline betaine;23922.75881;0;109134.5038;0;53370.88264;0;3639.918941;102111.3009;110757.315;10014.7207;64770.67293;141232.1689;32141.80284;25388.12908;82596.83276;16990.18616;87054.38828;54014.62665;49795.14157;-1;-1;3639.918941;959655.5122;-1;0;3639.918941;483467.675;0;87054.38828;49795.14157;109134.5038;0;0;0;0;3639.918941;10014.7207;141232.1689;82596.83276;C12H20N2O3;Carboxylic acids and derivatives;Amino acids and derivatives;N-acyl-alpha amino acids;Amino acids, peptides, and analogues;Organic acids and derivatives;Dipeptides;Amino acids and Peptides;Small peptides;241.1549;1.3198;1.3198;O=C(N1C(C(O)=O)CCC1)C2CCC[N+]2(C)C;CCMSLIB00008851523
415.2543;T12;113;Late;1;Succession;Late;862;Spectral Match to Nonaethylene glycol from NIST14;2764.396774;0;2764.396774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;5528.793548;-1;0;0;2764.396774;0;0;0;2764.396774;0;0;0;0;0;0;0;0;C18H38O10;Organooxygen compounds;Dialkyl ethers;Polyethylene glycols;Ethers;Organic oxygen compounds;Monoacylglycerols;Fatty acids;Glycerolipids;415.2543;2.5976;2.5976;nan;CCMSLIB00003136089
623.2867;T9;71;Late;9;Succession;Late;6284;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;750.7325478;0;0;750.7325478;0;-1;-1;0;1501.465096;-1;0;0;750.7325478;0;0;0;0;0;0;0;0;0;0;0;750.7325478;C33H44O10;Steroids and steroid derivatives;;Steroid esters;Steroid esters;Lipids and lipid-like molecules;Tetraketide meroterpenoids;Terpenoids;Triterpenoids;623.2867;9.7155;9.7155;;
568.3989;T9;71;Late;9;Succession;Late;4056;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543.14241;0;0;543.14241;0;-1;-1;0;1086.28482;-1;0;0;543.14241;0;0;0;0;0;0;0;0;0;0;0;543.14241;C27H57N6O4;Carboxylic acids and derivatives;Amino acids and derivatives;N-acyl-alpha amino acids and derivatives;Amino acids, peptides, and analogues;Organic acids and derivatives;Polyamines;Amino acids and Peptides;Ornithine alkaloids;568.3989;8.225;8.225;;
303.2319;T9,T8,T12;71,57,113;Late;8,6;Succession;Late;4137;linoleic acid;0;0;5192.233004;0;0;0;0;0;0;0;0;1596.515224;5192.233004;0;2969.251765;4565.766989;0;0;0;-1;-1;0;19515.99999;-1;0;0;9757.999993;0;0;0;5192.233004;0;0;0;0;0;0;1596.515224;2969.251765;C20H30O2;Fatty Acyls;Long-chain fatty acids;Long-chain fatty acids;Fatty acids and conjugates;Lipids and lipid-like molecules;Unsaturated fatty acids;Fatty acids;Fatty Acids and Conjugates;303.2319;8.4121;8.4121;O=C(O)CCCCCCCC=CCC=CCCCCC;CCMSLIB00006554023
524.3739;T10,T7,T9,T8,T12,T11;71,3,44,99,85,57,113;Late;5,2,9,4,3,8;Succession;Late;3330;Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14;0;0;4083.036098;0;2561.407337;0;0;2884.13565;3316.659291;1521.419852;2054.572964;11093.79956;0;0;11172.9731;9550.566198;6654.065851;17366.09651;3208.143498;-1;-1;0;75466.8759;-1;0;0;37733.43795;0;6654.065851;3208.143498;4083.036098;0;0;0;0;0;1521.419852;11093.79956;11172.9731;C26H54NO7P;Glycerophospholipids;Lysophosphatidylcholines;1-acyl-sn-glycero-3-phosphocholines;Glycerophosphocholines;Lipids and lipid-like molecules;Glycerophosphocholines;Fatty acids;Glycerophospholipids;524.3739;7.6554;7.6554;nan;CCMSLIB00003137839
